model,logisticregression__C,logisticregression__fit_intercept,logisticregression__max_iter,logisticregression__solver,score,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample,kneighborsclassifier__n_neighbors,kneighborsclassifier__p,kneighborsclassifier__weights,linearsvc__C,linearsvc__class_weight,linearsvc__dual,linearsvc__fit_intercept,linearsvc__max_iter,activation,alpha,hidden_layer_sizes,learning_rate_init,max_iter,solver,algorithm
gradient_boosting,,,,,0.13175368693328415,2.0,log2,,,441.0,,0.11000000000000001,,,0.7200000000000001,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13173370010168997,3.0,sqrt,,,200.0,,0.05,,,0.8,,,,,,,,,,,,,,,
linear_svc,,,,,0.1317284166948341,,,,,,,,,,,,,,1.0,balanced,True,False,1651.0,,,,,,,
linear_svc,,,,,0.13170878576064537,,,,,,,,,,,,,,2.0,,True,True,1500.0,,,,,,,
extra_trees,,,,,0.1316623642499264,7.0,0.8,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.1316505655121062,,,,,,,,,,,,,,2.2,,True,False,1651.0,,,,,,,
linear_svc,,,,,0.1315879237188766,,,,,,,,,,,,,,2.0,,True,False,1651.0,,,,,,,
random_forest,,,,,0.13156485603198206,7.0,log2,6.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,
adaboost,,,,,0.13154263833438076,,,,,90.0,,1.0,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.13152609407657523,,,,,100.0,,1.0,,,,,,,,,,,,,,,,,,SAMME
extra_trees,,,,,0.1314696118556406,7.0,0.8,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13143181373610527,2.0,,,,400.0,,0.045000000000000005,,,0.7200000000000001,,,,,,,,,,,,,,,
extra_trees,,,,,0.1313612737022738,7.0,log2,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.13135169615569042,,,,,,,,,,,,,,2.0,balanced,True,True,1500.0,,,,,,,
extra_trees,,,,,0.1313373218287544,8.0,log2,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13120204556274367,3.0,log2,,,180.0,,0.1,,,0.8,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13119911557722735,4.0,,,,180.0,,0.05,,,0.8,,,,,,,,,,,,,,,
extra_trees,,,,,0.1311354867761238,7.0,log2,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
adaboost,,,,,0.13109850619559948,,,,,90.0,,0.45,,,,,,,,,,,,,,,,,,SAMME
extra_trees,,,,,0.13088451619508013,8.0,0.8,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.1308595812557564,8.0,log2,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.1307584568715619,8.0,0.8,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.13069404986272884,12.0,sqrt,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.1306682249047333,7.0,sqrt,5.0,4.0,180.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13066672860280004,4.0,log2,,,200.0,,0.045000000000000005,,,0.8,,,,,,,,,,,,,,,
random_forest,,,,,0.13064760282963359,8.0,sqrt,3.0,4.0,400.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.13061168779203927,8.0,sqrt,6.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.1303264286406153,7.0,log2,3.0,4.0,400.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13014091970562977,3.0,log2,,,441.0,,0.05,,,1.0,,,,,,,,,,,,,,,
extra_trees,,,,,0.13002766395015944,12.0,log2,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.1299235847969288,8.0,log2,2.0,5.0,200.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.12988286797509246,3.0,,,,441.0,,0.045000000000000005,,,0.7200000000000001,,,,,,,,,,,,,,,
random_forest,,,,,0.12970896811345942,7.0,sqrt,6.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.12965275967824946,4.0,sqrt,,,400.0,,0.05,,,0.7200000000000001,,,,,,,,,,,,,,,
random_forest,,,,,0.1295233380809444,7.0,sqrt,2.0,5.0,200.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.1295019159506831,8.0,log2,5.0,4.0,180.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.1294171945015215,2.0,sqrt,,,441.0,,0.1,,,1.0,,,,,,,,,,,,,,,
linear_svc,,,,,0.12940547092255955,,,,,,,,,,,,,,2.2,,True,True,1500.0,,,,,,,
gradient_boosting,,,,,0.12917368312740363,3.0,sqrt,,,200.0,,0.11000000000000001,,,0.8,,,,,,,,,,,,,,,
extra_trees,,,,,0.12897193763018344,14.0,log2,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.1287699196529945,14.0,sqrt,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
