model.dropout,model.hidden_dim,model.num_layers,model.rgcn_bases,train.epochs,train.optimizer.lr,train.optimizer.weight_decay,val_auprc,trial
0.15,300,3,4,80,0.0007,0.05,0.1788672778120502,342
0.15,256,1,4,80,0.0007,0.01,0.1788625700359296,243
0.2,300,2,6,80,0.0011,0.05,0.17882910809970876,516
0.15,256,2,6,80,0.0009,0.01,0.17879645592775842,275
0.15,300,2,6,80,0.0011,0.01,0.17877634216745492,337
0.15,300,2,4,80,0.0013,0.05,0.17877218741036502,328
0.25,256,3,4,80,0.0011,0.05,0.17873841305582838,646
0.1,300,1,6,80,0.0007,0.01,0.17873708344593756,133
0.2,300,1,6,80,0.0007,0.05,0.17873069001303177,492
0.1,256,3,4,80,0.0005,0.01,0.17871571103752507,101
0.1,300,1,4,80,0.0013,0.01,0.17871125764749235,129
0.25,256,2,6,80,0.0005,0.05,0.1786845316997683,630
0.3,256,1,4,80,0.0011,0.05,0.17864349817861647,786
0.1,128,3,6,80,0.0011,0.05,0.17862048942274053,56
0.1,300,2,4,80,0.0009,0.05,0.17861519314634014,144
0.1,256,3,4,80,0.0009,0.01,0.17860014916876302,105
0.1,256,1,6,80,0.0005,0.01,0.17856785383693205,71
0.1,128,2,4,80,0.0013,0.05,0.17851928049202806,28
0.25,300,2,6,80,0.0009,0.05,0.17850640173105695,694
0.1,300,3,4,80,0.0011,0.01,0.17847415283495216,167
0.2,300,2,4,80,0.0007,0.01,0.1784165892104897,503
0.25,256,3,4,80,0.0011,0.01,0.17840887869660002,647
0.15,256,3,4,80,0.0013,0.01,0.17835726707110128,289
0.25,256,1,4,80,0.0007,0.01,0.17824216991336578,603
0.1,256,1,4,80,0.0007,0.01,0.17823664802804143,63
0.25,256,1,6,80,0.0011,0.01,0.17822421717601541,617
0.3,256,1,4,80,0.0011,0.01,0.17819370830348885,787
0.2,300,3,4,80,0.0013,0.01,0.17818381353172846,529
0.3,300,2,4,80,0.0005,0.05,0.17817345201244855,860
0.2,300,1,6,80,0.0013,0.05,0.17815526573522983,498
0.1,300,1,4,80,0.0007,0.01,0.17813871585944502,123
0.1,256,2,6,80,0.0013,0.05,0.1781367581682145,98
0.1,300,2,4,80,0.0007,0.01,0.17810356370147168,143
0.1,256,2,4,80,0.0007,0.01,0.17809911182545757,83
0.25,256,1,6,80,0.0009,0.05,0.1780980222797094,614
0.25,300,1,4,80,0.0011,0.01,0.17809684703059725,667
0.15,256,1,6,80,0.0011,0.05,0.17808198825094104,256
0.3,256,2,6,80,0.0013,0.01,0.17807775483967317,819
0.2,300,1,6,80,0.0009,0.01,0.17807357532976267,495
0.15,256,3,4,80,0.0013,0.05,0.17805987315527103,288
0.2,300,2,6,80,0.0013,0.01,0.17805197329602457,519
0.1,256,1,6,80,0.0013,0.05,0.1780497125744673,78
0.3,300,2,4,80,0.0009,0.05,0.17804338798357683,864
0.15,256,3,6,80,0.0005,0.05,0.17804170880954132,290
0.2,300,3,6,80,0.0007,0.01,0.17803860716629477,533
0.3,300,3,6,80,0.0007,0.01,0.17802110758258505,893
0.1,256,3,4,80,0.0005,0.05,0.1780161749139605,100
0.2,300,2,6,80,0.0009,0.01,0.17801157760256453,515
0.1,128,1,6,80,0.0013,0.05,0.1780024627983455,18
0.1,256,1,6,80,0.0011,0.01,0.17799428792814975,77
0.25,300,3,6,80,0.0011,0.01,0.1779927115460997,717
0.3,300,1,4,80,0.0013,0.01,0.1779913033481966,849
0.25,300,2,4,80,0.0011,0.05,0.17795958728545958,686
0.25,300,2,4,80,0.0007,0.01,0.17794064180818467,683
0.25,300,1,4,80,0.0013,0.01,0.17791395563224408,669
0.15,256,3,4,80,0.0007,0.05,0.17790238876850042,282
0.15,128,3,6,80,0.0011,0.01,0.17787158132971925,237
0.1,128,3,4,80,0.0009,0.01,0.1778656521582288,45
0.1,300,1,6,80,0.0005,0.01,0.1778512047289543,131
0.3,256,2,6,80,0.0005,0.01,0.1778383991558709,811
0.1,300,2,4,80,0.0013,0.05,0.1778376927988995,148
0.2,256,3,6,80,0.0007,0.05,0.17779479847828966,472
0.15,256,1,6,80,0.0007,0.05,0.17778828796072071,252
0.25,300,2,6,80,0.0007,0.05,0.17778698242114363,692
0.15,256,2,4,80,0.0009,0.05,0.17777402924411573,264
0.1,300,1,6,80,0.0011,0.01,0.17774655391223576,137
0.15,300,3,6,80,0.0005,0.05,0.17774025372694818,350
0.15,256,3,6,80,0.0007,0.05,0.17773292409685865,292
0.2,300,3,4,80,0.0007,0.05,0.17772587458848155,522
0.2,256,3,4,80,0.0007,0.01,0.1777250211571667,463
0.15,256,3,4,80,0.0009,0.01,0.17768818486238563,285
0.1,128,1,6,80,0.0013,0.01,0.17768414233902677,19
0.2,256,2,4,80,0.0013,0.05,0.17767851770182172,448
0.1,256,2,4,80,0.0011,0.05,0.17761831392592775,86
0.15,128,2,6,80,0.0011,0.01,0.17761735756091274,217
0.15,300,3,4,80,0.0005,0.01,0.1776164602055779,341
0.15,300,1,6,80,0.0009,0.05,0.17761417035527552,314
0.25,300,3,4,80,0.0011,0.05,0.17759643787037913,706
0.3,300,3,4,80,0.0007,0.01,0.17758662534943348,883
0.15,256,3,4,80,0.0007,0.01,0.17757874530289097,283
0.25,300,2,4,80,0.0005,0.01,0.1775597504958406,681
0.2,256,1,6,80,0.0009,0.05,0.177552857320485,434
0.25,300,2,4,80,0.0009,0.01,0.17754075472635317,685
0.3,300,3,6,80,0.0009,0.01,0.17753718285747996,895
0.1,300,2,6,80,0.0005,0.01,0.17752695964038723,151
0.15,300,1,6,80,0.0007,0.01,0.17750620106949924,313
0.1,256,2,4,80,0.0013,0.05,0.17747339813849078,88
0.2,128,2,6,80,0.0007,0.05,0.17746084262409,392
0.15,300,1,4,80,0.0009,0.05,0.17743453874036996,304
0.1,300,3,6,80,0.0007,0.01,0.17742142881327513,173
0.3,256,2,6,80,0.0011,0.01,0.17740549440593117,817
0.15,300,2,6,80,0.0011,0.05,0.17740264890993762,336
0.3,300,1,6,80,0.0009,0.01,0.17737833383120566,855
0.25,300,2,4,80,0.0005,0.05,0.17736673957186788,680
0.3,300,2,4,80,0.0013,0.05,0.17735367240339736,868
0.2,256,1,6,80,0.0005,0.05,0.17735181522144,430
0.2,300,3,6,80,0.0009,0.05,0.1773461250882285,534
0.2,256,3,4,80,0.0005,0.01,0.17730497648686533,461
0.2,300,2,6,80,0.0007,0.01,0.17729086611078188,513
0.15,300,3,4,80,0.0013,0.05,0.17728629965823675,348
0.2,300,2,6,80,0.0005,0.01,0.1772498110005155,511
0.15,256,3,4,80,0.0005,0.05,0.177166179829954,280
0.2,300,1,4,80,0.0011,0.05,0.177114536647481,486
0.15,256,2,6,80,0.0005,0.05,0.17711448753065917,270
0.15,300,3,4,80,0.0005,0.05,0.1770801339869855,340
0.1,256,3,4,80,0.0007,0.01,0.17707153117178584,103
0.25,300,2,4,80,0.0009,0.05,0.1770501530309621,684
0.25,128,1,4,80,0.0013,0.01,0.177028403734117,549
0.15,300,3,6,80,0.0013,0.05,0.17700817199085514,358
0.1,256,1,4,80,0.0013,0.01,0.1770024026099309,69
0.1,128,1,6,80,0.0011,0.05,0.17699786409797288,16
0.1,256,3,6,80,0.0007,0.01,0.17696130894765058,113
0.2,128,2,4,80,0.0011,0.01,0.17695062524146601,387
0.2,300,1,4,80,0.0013,0.05,0.17694805557527193,488
0.25,256,1,6,80,0.0013,0.01,0.1769170693806196,619
0.3,300,2,6,80,0.0005,0.05,0.1769153751769557,870
0.2,256,3,4,80,0.0007,0.05,0.1769145040577298,462
0.3,256,2,4,80,0.0009,0.01,0.17689931357264135,805
0.15,300,3,6,80,0.0009,0.01,0.17688597673302775,355
0.1,256,2,4,80,0.0011,0.01,0.17686265562411163,87
0.15,256,2,6,80,0.0009,0.05,0.17686054840607296,274
0.15,300,1,6,80,0.0005,0.01,0.17684137255206922,311
0.25,300,1,6,80,0.0007,0.05,0.17682279994168676,672
0.15,256,2,6,80,0.0005,0.01,0.17681367478719284,271
0.2,256,3,6,80,0.0013,0.01,0.17680993113722687,479
0.15,256,2,6,80,0.0007,0.05,0.17679693339153865,272
0.1,300,3,6,80,0.0013,0.01,0.1767958048782945,179
0.1,300,3,6,80,0.0009,0.05,0.17678466922701253,174
0.1,300,3,4,80,0.0005,0.05,0.17674358978765137,160
0.25,256,1,4,80,0.0011,0.05,0.17674009184306472,606
0.2,300,2,4,80,0.0009,0.05,0.17669473175944173,504
0.2,300,2,4,80,0.0011,0.05,0.1766793957307438,506
0.15,128,3,4,80,0.0009,0.05,0.17667192394043874,224
0.3,256,2,4,80,0.0009,0.05,0.1766619396237798,804
0.15,300,2,4,80,0.0007,0.01,0.1766546913222895,323
0.1,300,1,6,80,0.0013,0.05,0.1766219030906339,138
0.2,300,1,6,80,0.0005,0.05,0.17658705613302245,490
0.1,256,1,4,80,0.0011,0.01,0.1765771396342769,67
0.1,300,1,6,80,0.0011,0.05,0.17657562633790336,136
0.25,256,3,6,80,0.0011,0.05,0.17656839620346693,656
0.1,128,3,6,80,0.0013,0.05,0.17654866582596557,58
0.1,256,3,6,80,0.0005,0.05,0.17644052339871769,110
0.3,256,3,6,80,0.0011,0.05,0.1764251943982182,836
0.15,300,3,6,80,0.0007,0.05,0.17641423199276796,352
0.15,128,2,6,80,0.0009,0.05,0.17641202632423378,214
0.15,128,3,6,80,0.0013,0.01,0.17636024773904255,239
0.1,256,2,6,80,0.0011,0.01,0.17636013179258192,97
0.3,256,1,4,80,0.0009,0.05,0.17636005097721477,784
0.1,300,3,6,80,0.0009,0.01,0.17635070066108804,175
0.15,300,1,6,80,0.0011,0.05,0.1763408474354765,316
0.25,256,2,6,80,0.0013,0.05,0.17633460737316844,638
